datetime,D21Z,D41Z,D42Z,Total
2024-03-14 03:20:00,0,0,0,0
2024-03-14 03:30:00,0,0,1,1
2024-03-14 03:40:00,1,0,1,2
2024-03-14 03:50:00,0,0,0,0
2024-03-14 04:00:00,0,1,2,3
2024-03-14 04:10:00,0,2,1,3
2024-03-14 04:20:00,0,0,1,1
2024-03-14 04:30:00,0,1,0,1
2024-03-14 04:40:00,1,0,1,2
2024-03-14 04:50:00,1,1,1,3
2024-03-14 05:00:00,0,0,1,1
2024-03-14 05:10:00,4,0,0,4
2024-03-14 05:20:00,1,4,2,7
2024-03-14 05:30:00,1,0,2,3
2024-03-14 05:40:00,6,3,6,15
2024-03-14 05:50:00,5,3,2,10
2024-03-14 06:00:00,7,0,1,8
2024-03-14 06:10:00,5,3,7,15
2024-03-14 06:20:00,8,8,5,21
2024-03-14 06:30:00,9,3,10,22
2024-03-14 06:40:00,17,8,2,27
2024-03-14 06:50:00,17,8,7,32
2024-03-14 07:00:00,15,17,5,37
2024-03-14 07:10:00,28,14,6,48
2024-03-14 07:20:00,27,15,13,55
2024-03-14 07:30:00,27,37,17,81
2024-03-14 07:40:00,30,37,13,80
2024-03-14 07:50:00,40,20,13,73
2024-03-14 08:00:00,37,23,14,74
2024-03-14 08:10:00,29,14,16,59
2024-03-14 08:20:00,31,24,14,69
2024-03-14 08:30:00,21,12,7,40
2024-03-14 08:40:00,34,22,9,65
2024-03-14 08:50:00,23,18,15,56
2024-03-14 09:00:00,20,21,10,51
2024-03-14 09:10:00,22,22,9,53
2024-03-14 09:20:00,17,11,11,39
2024-03-14 09:30:00,27,15,9,51
2024-03-14 09:40:00,18,16,10,44
2024-03-14 09:50:00,23,15,4,42
2024-03-14 10:00:00,19,13,11,43
2024-03-14 10:10:00,26,20,8,54
2024-03-14 10:20:00,18,9,6,33
2024-03-14 10:30:00,19,15,11,45
2024-03-14 10:40:00,19,18,9,46
2024-03-14 10:50:00,26,16,8,50
2024-03-14 11:00:00,18,17,13,48
2024-03-14 11:10:00,17,15,9,41
2024-03-14 11:20:00,25,19,6,50
2024-03-14 11:30:00,27,22,9,58
2024-03-14 11:40:00,23,24,14,61
2024-03-14 11:50:00,18,21,6,45
2024-03-14 12:00:00,20,16,6,42
2024-03-14 12:10:00,37,20,8,65
2024-03-14 12:20:00,23,14,8,45
2024-03-14 12:30:00,25,10,11,46
2024-03-14 12:40:00,21,17,9,47
2024-03-14 12:50:00,30,14,9,53
2024-03-14 13:00:00,23,14,9,46
2024-03-14 13:10:00,34,13,4,51
2024-03-14 13:20:00,33,14,7,54
2024-03-14 13:30:00,16,15,10,41
2024-03-14 13:40:00,32,19,9,60
2024-03-14 13:50:00,23,16,7,46
2024-03-14 14:00:00,26,17,11,54
2024-03-14 14:10:00,25,26,4,55
2024-03-14 14:20:00,25,31,8,64
2024-03-14 14:30:00,27,30,12,69
2024-03-14 14:40:00,22,22,7,51
2024-03-14 14:50:00,25,34,15,74
2024-03-14 15:00:00,30,21,17,68
2024-03-14 15:10:00,26,16,13,55
2024-03-14 15:20:00,19,17,7,43
2024-03-14 15:30:00,30,14,15,59
2024-03-14 15:40:00,34,33,7,74
2024-03-14 15:50:00,27,32,9,68
2024-03-14 16:00:00,29,30,6,65
2024-03-14 16:10:00,28,21,9,58
2024-03-14 16:20:00,21,23,6,50
2024-03-14 16:30:00,34,32,12,78
2024-03-14 16:40:00,26,23,10,59
2024-03-14 16:50:00,27,25,10,62
2024-03-14 17:00:00,27,31,18,76
2024-03-14 17:10:00,33,23,14,70
2024-03-14 17:20:00,30,45,9,84
2024-03-14 17:30:00,26,30,14,70
2024-03-14 17:40:00,33,23,13,69
2024-03-14 17:50:00,23,29,14,66
2024-03-14 18:00:00,37,24,19,80
2024-03-14 18:10:00,28,32,8,68
2024-03-14 18:20:00,28,23,10,61
2024-03-14 18:30:00,41,21,6,68
2024-03-14 18:40:00,34,10,5,49
2024-03-14 18:50:00,20,24,4,48
2024-03-14 19:00:00,20,25,7,52
2024-03-14 19:10:00,29,21,13,63
2024-03-14 19:20:00,23,20,7,50
2024-03-14 19:30:00,21,12,9,42
2024-03-14 19:40:00,18,13,7,38
2024-03-14 19:50:00,12,9,7,28
2024-03-14 20:00:00,14,15,11,40
2024-03-14 20:10:00,14,14,4,32
2024-03-14 20:20:00,15,6,4,25
2024-03-14 20:30:00,10,7,8,25
2024-03-14 20:40:00,10,9,5,24
2024-03-14 20:50:00,12,5,2,19
2024-03-14 21:00:00,12,7,4,23
2024-03-14 21:10:00,11,5,5,21
2024-03-14 21:20:00,14,12,3,29
2024-03-14 21:30:00,14,8,7,29
2024-03-14 21:40:00,12,12,3,27
2024-03-14 21:50:00,8,8,7,23
2024-03-14 22:00:00,8,5,2,15
2024-03-14 22:10:00,6,4,3,13
2024-03-14 22:20:00,8,3,5,16
2024-03-14 22:30:00,4,6,4,14
2024-03-14 22:40:00,7,4,5,16
2024-03-14 22:50:00,3,5,1,9
2024-03-14 23:00:00,8,4,2,14
2024-03-14 23:10:00,8,5,2,15
2024-03-14 23:20:00,4,1,1,6
2024-03-14 23:30:00,4,0,0,4
2024-03-14 23:40:00,4,1,1,6
2024-03-14 23:50:00,3,1,0,4
2024-03-15 00:00:00,1,0,2,3
2024-03-15 00:10:00,1,0,0,1
2024-03-15 00:20:00,0,2,1,3
2024-03-15 00:30:00,2,1,0,3
2024-03-15 00:40:00,2,4,3,9
2024-03-15 00:50:00,1,1,0,2
2024-03-15 01:00:00,2,0,1,3
2024-03-15 01:10:00,2,0,0,2
2024-03-15 01:20:00,1,0,0,1
2024-03-15 01:30:00,0,0,0,0
2024-03-15 01:40:00,1,0,2,3
2024-03-15 01:50:00,3,0,0,3
2024-03-15 02:00:00,1,2,1,4
2024-03-15 02:10:00,0,0,0,0
2024-03-15 02:20:00,0,0,0,0
2024-03-15 02:30:00,2,0,1,3
2024-03-15 02:40:00,0,1,0,1
2024-03-15 02:50:00,0,0,0,0
2024-03-15 03:00:00,0,0,0,0
2024-03-15 03:10:00,0,0,0,0
2024-03-15 03:20:00,0,0,0,0
2024-03-15 03:30:00,0,0,2,2
2024-03-15 03:40:00,3,1,0,4
2024-03-15 03:50:00,1,0,0,1
2024-03-15 04:00:00,1,1,1,3
2024-03-15 04:10:00,1,0,0,1
2024-03-15 04:20:00,0,0,0,0
2024-03-15 04:30:00,2,0,0,2
2024-03-15 04:40:00,0,0,0,0
2024-03-15 04:50:00,0,0,1,1
2024-03-15 05:00:00,0,2,2,4
2024-03-15 05:10:00,4,1,0,5
2024-03-15 05:20:00,3,1,0,4
2024-03-15 05:30:00,2,2,4,8
2024-03-15 05:40:00,1,3,2,6
2024-03-15 05:50:00,7,2,4,13
2024-03-15 06:00:00,4,0,0,4
2024-03-15 06:10:00,7,5,2,14
2024-03-15 06:20:00,4,4,6,14
2024-03-15 06:30:00,7,3,9,19
2024-03-15 06:40:00,14,11,5,30
2024-03-15 06:50:00,13,9,1,23
2024-03-15 07:00:00,18,10,4,32
2024-03-15 07:10:00,20,13,10,43
2024-03-15 07:20:00,25,18,16,59
2024-03-15 07:30:00,29,30,21,80
2024-03-15 07:40:00,29,38,10,77
2024-03-15 07:50:00,37,26,10,73
2024-03-15 08:00:00,21,22,15,58
2024-03-15 08:10:00,19,11,11,41
2024-03-15 08:20:00,26,20,13,59
2024-03-15 08:30:00,25,16,11,52
2024-03-15 08:40:00,28,17,13,58
2024-03-15 08:50:00,20,24,13,57
2024-03-15 09:00:00,16,16,13,45
2024-03-15 09:10:00,17,11,10,38
2024-03-15 09:20:00,21,22,13,56
2024-03-15 09:30:00,25,15,6,46
2024-03-15 09:40:00,19,18,9,46
2024-03-15 09:50:00,28,22,7,57
2024-03-15 10:00:00,20,15,10,45
2024-03-15 10:10:00,22,12,12,46
2024-03-15 10:20:00,25,13,6,44
2024-03-15 10:30:00,18,9,5,32
2024-03-15 10:40:00,21,10,5,36
2024-03-15 10:50:00,24,15,5,44
2024-03-15 11:00:00,19,16,8,43
2024-03-15 11:10:00,22,8,10,40
2024-03-15 11:20:00,24,11,8,43
2024-03-15 11:30:00,17,14,14,45
2024-03-15 11:40:00,22,18,6,46
2024-03-15 11:50:00,19,17,12,48
2024-03-15 12:00:00,17,14,9,40
2024-03-15 12:10:00,26,25,9,60
2024-03-15 12:20:00,28,20,5,53
2024-03-15 12:30:00,24,19,5,48
2024-03-15 12:40:00,21,28,19,68
2024-03-15 12:50:00,26,18,10,54
2024-03-15 13:00:00,19,15,18,52
2024-03-15 13:10:00,29,18,18,65
2024-03-15 13:20:00,37,17,7,61
2024-03-15 13:30:00,34,25,6,65
2024-03-15 13:40:00,24,15,12,51
2024-03-15 13:50:00,21,22,14,57
2024-03-15 14:00:00,28,28,4,60
2024-03-15 14:10:00,32,21,11,64
2024-03-15 14:20:00,31,16,13,60
2024-03-15 14:30:00,35,25,9,69
2024-03-15 14:40:00,25,35,14,74
2024-03-15 14:50:00,22,22,16,60
2024-03-15 15:00:00,31,32,17,80
2024-03-15 15:10:00,26,16,10,52
2024-03-15 15:20:00,32,39,11,82
2024-03-15 15:30:00,33,27,13,73
2024-03-15 15:40:00,27,28,14,69
2024-03-15 15:50:00,31,24,10,65
2024-03-15 16:00:00,19,20,15,54
2024-03-15 16:10:00,26,18,18,62
2024-03-15 16:20:00,31,22,9,62
2024-03-15 16:30:00,33,27,13,73
2024-03-15 16:40:00,38,30,8,76
2024-03-15 16:50:00,32,25,11,68
2024-03-15 17:00:00,26,28,11,65
2024-03-15 17:10:00,35,26,6,67
2024-03-15 17:20:00,28,25,11,64
2024-03-15 17:30:00,25,18,12,55
2024-03-15 17:40:00,28,21,8,57
2024-03-15 17:50:00,33,26,9,68
2024-03-15 18:00:00,22,19,14,55
2024-03-15 18:10:00,28,27,12,67
2024-03-15 18:20:00,38,20,10,68
2024-03-15 18:30:00,18,17,8,43
2024-03-15 18:40:00,22,19,15,56
2024-03-15 18:50:00,16,14,11,41
2024-03-15 19:00:00,20,15,8,43
2024-03-15 19:10:00,26,13,7,46
2024-03-15 19:20:00,17,11,4,32
2024-03-15 19:30:00,12,9,7,28
2024-03-15 19:40:00,21,12,8,41
2024-03-15 19:50:00,16,13,11,40
2024-03-15 20:00:00,17,10,5,32
2024-03-15 20:10:00,18,13,4,35
2024-03-15 20:20:00,12,12,3,27
2024-03-15 20:30:00,12,14,1,27
2024-03-15 20:40:00,14,13,3,30
2024-03-15 20:50:00,8,6,3,17
2024-03-15 21:00:00,17,14,6,37
2024-03-15 21:10:00,14,9,2,25
2024-03-15 21:20:00,20,2,3,25
2024-03-15 21:30:00,10,7,3,20
2024-03-15 21:40:00,7,9,3,19
2024-03-15 21:50:00,17,7,2,26
2024-03-15 22:00:00,9,6,2,17
2024-03-15 22:10:00,6,7,1,14
2024-03-15 22:20:00,10,3,2,15
2024-03-15 22:30:00,5,8,0,13
2024-03-15 22:40:00,8,8,3,19
2024-03-15 22:50:00,10,3,2,15
2024-03-15 23:00:00,12,7,2,21
2024-03-15 23:10:00,13,2,3,18
2024-03-15 23:20:00,8,8,3,19
2024-03-15 23:30:00,7,6,9,22
2024-03-15 23:40:00,8,2,2,12
2024-03-15 23:50:00,1,6,2,9
2024-03-16 00:00:00,1,1,3,5
2024-03-16 00:10:00,4,6,1,11
2024-03-16 00:20:00,3,2,2,7
2024-03-16 00:30:00,6,4,4,14
2024-03-16 00:40:00,2,3,4,9
2024-03-16 00:50:00,1,2,2,5
2024-03-16 01:00:00,5,2,3,10
2024-03-16 01:10:00,2,0,1,3
2024-03-16 01:20:00,3,4,1,8
2024-03-16 01:30:00,4,0,0,4
2024-03-16 01:40:00,4,0,0,4
2024-03-16 01:50:00,1,1,1,3
2024-03-16 02:00:00,3,1,1,5
2024-03-16 02:10:00,0,2,1,3
2024-03-16 02:20:00,2,1,1,4
2024-03-16 02:30:00,0,0,0,0
2024-03-16 02:40:00,1,0,0,1
2024-03-16 02:50:00,4,1,1,6
2024-03-16 03:00:00,3,1,1,5
2024-03-16 03:10:00,2,1,2,5
2024-03-16 03:20:00,0,0,1,1
2024-03-16 03:30:00,1,0,2,3
2024-03-16 03:40:00,3,0,0,3
2024-03-16 03:50:00,2,3,0,5
2024-03-16 04:00:00,3,1,1,5
2024-03-16 04:10:00,0,0,1,1
2024-03-16 04:20:00,0,0,0,0
2024-03-16 04:30:00,0,1,1,2
2024-03-16 04:40:00,2,2,2,6
2024-03-16 04:50:00,0,0,0,0
2024-03-16 05:00:00,1,1,0,2
2024-03-16 05:10:00,2,1,0,3
2024-03-16 05:20:00,1,0,0,1
2024-03-16 05:30:00,0,0,2,2
2024-03-16 05:40:00,2,1,3,6
2024-03-16 05:50:00,0,2,2,4
2024-03-16 06:00:00,0,0,2,2
2024-03-16 06:10:00,3,2,3,8
2024-03-16 06:20:00,3,1,2,6
2024-03-16 06:30:00,4,2,4,10
2024-03-16 06:40:00,4,2,1,7
2024-03-16 06:50:00,3,2,2,7
2024-03-16 07:00:00,5,1,0,6
2024-03-16 07:10:00,5,4,2,11
2024-03-16 07:20:00,4,3,5,12
2024-03-16 07:30:00,2,6,7,15
2024-03-16 07:40:00,4,4,2,10
2024-03-16 07:50:00,4,3,3,10
2024-03-16 08:00:00,9,5,4,18
2024-03-16 08:10:00,13,8,5,26
2024-03-16 08:20:00,13,8,8,29
2024-03-16 08:30:00,13,5,4,22
2024-03-16 08:40:00,15,3,5,23
2024-03-16 08:50:00,12,18,5,35
2024-03-16 09:00:00,15,10,9,34
2024-03-16 09:10:00,14,9,5,28
2024-03-16 09:20:00,16,7,6,29
2024-03-16 09:30:00,19,8,9,36
2024-03-16 09:40:00,21,19,7,47
2024-03-16 09:50:00,18,19,9,46
2024-03-16 10:00:00,16,13,5,34
2024-03-16 10:10:00,20,11,4,35
2024-03-16 10:20:00,22,17,7,46
2024-03-16 10:30:00,18,31,9,58
2024-03-16 10:40:00,29,18,8,55
2024-03-16 10:50:00,22,17,4,43
2024-03-16 11:00:00,31,15,10,56
2024-03-16 11:10:00,28,18,11,57
2024-03-16 11:20:00,22,24,9,55
2024-03-16 11:30:00,15,15,8,38
2024-03-16 11:40:00,19,17,9,45
2024-03-16 11:50:00,18,16,7,41
2024-03-16 12:00:00,21,16,5,42
2024-03-16 12:10:00,27,22,7,56
2024-03-16 12:20:00,23,29,6,58
2024-03-16 12:30:00,31,26,8,65
2024-03-16 12:40:00,24,22,9,55
2024-03-16 12:50:00,23,20,10,53
2024-03-16 13:00:00,27,12,6,45
2024-03-16 13:10:00,22,18,6,46
2024-03-16 13:20:00,22,18,7,47
2024-03-16 13:30:00,24,31,6,61
2024-03-16 13:40:00,22,27,10,59
2024-03-16 13:50:00,20,42,4,66
2024-03-16 14:00:00,24,29,12,65
2024-03-16 14:10:00,22,39,9,70
2024-03-16 14:20:00,22,44,11,77
2024-03-16 14:30:00,32,33,7,72
2024-03-16 14:40:00,23,23,11,57
2024-03-16 14:50:00,19,15,8,42
2024-03-16 15:00:00,21,18,7,46
2024-03-16 15:10:00,16,21,10,47
2024-03-16 15:20:00,25,11,8,44
2024-03-16 15:30:00,21,9,5,35
2024-03-16 15:40:00,11,11,10,32
2024-03-16 15:50:00,16,10,3,29
2024-03-16 16:00:00,18,19,5,42
2024-03-16 16:10:00,18,8,8,34
2024-03-16 16:20:00,17,14,3,34
2024-03-16 16:30:00,20,12,9,41
2024-03-16 16:40:00,19,14,9,42
2024-03-16 16:50:00,15,12,5,32
2024-03-16 17:00:00,17,11,4,32
2024-03-16 17:10:00,19,15,6,40
2024-03-16 17:20:00,22,15,9,46
2024-03-16 17:30:00,18,14,8,40
2024-03-16 17:40:00,43,19,7,69
2024-03-16 17:50:00,53,8,8,69
2024-03-16 18:00:00,67,12,10,89
2024-03-16 18:10:00,54,11,13,78
2024-03-16 18:20:00,42,12,6,60
2024-03-16 18:30:00,46,10,7,63
2024-03-16 18:40:00,29,15,5,49
2024-03-16 18:50:00,17,11,6,34
2024-03-16 19:00:00,16,10,8,34
2024-03-16 19:10:00,22,12,8,42
2024-03-16 19:20:00,15,6,8,29
2024-03-16 19:30:00,11,15,6,32
2024-03-16 19:40:00,16,7,6,29
2024-03-16 19:50:00,16,11,11,38
2024-03-16 20:00:00,16,9,11,36
2024-03-16 20:10:00,13,12,7,32
2024-03-16 20:20:00,16,8,8,32
2024-03-16 20:30:00,11,7,4,22
2024-03-16 20:40:00,8,10,1,19
2024-03-16 20:50:00,9,6,1,16
2024-03-16 21:00:00,8,8,1,17
2024-03-16 21:10:00,10,9,3,22
2024-03-16 21:20:00,9,7,3,19
2024-03-16 21:30:00,5,3,4,12
2024-03-16 21:40:00,14,4,3,21
2024-03-16 21:50:00,16,6,8,30
2024-03-16 22:00:00,14,6,4,24
2024-03-16 22:10:00,12,7,4,23
2024-03-16 22:20:00,11,6,3,20
2024-03-16 22:30:00,10,8,2,20
2024-03-16 22:40:00,11,8,6,25
2024-03-16 22:50:00,5,2,2,9
2024-03-16 23:00:00,11,7,2,20
2024-03-16 23:10:00,9,3,2,14
2024-03-16 23:20:00,8,6,1,15
2024-03-16 23:30:00,8,2,3,13
2024-03-16 23:40:00,9,3,7,19
2024-03-16 23:50:00,6,3,2,11
2024-03-17 00:00:00,7,5,2,14
2024-03-17 00:10:00,5,5,3,13
2024-03-17 00:20:00,5,1,1,7
2024-03-17 00:30:00,5,1,2,8
2024-03-17 00:40:00,3,3,3,9
2024-03-17 00:50:00,4,2,2,8
2024-03-17 01:00:00,9,3,3,15
2024-03-17 01:10:00,7,2,1,10
2024-03-17 01:20:00,2,1,2,5
2024-03-17 01:30:00,4,2,2,8
2024-03-17 01:40:00,2,1,0,3
2024-03-17 01:50:00,2,1,0,3
2024-03-17 02:00:00,4,4,1,9
2024-03-17 02:10:00,1,3,0,4
2024-03-17 02:20:00,2,0,3,5
2024-03-17 02:30:00,3,1,1,5
2024-03-17 02:40:00,2,0,1,3
2024-03-17 02:50:00,2,1,1,4
2024-03-17 03:00:00,5,1,0,6
2024-03-17 03:10:00,3,2,1,6
2024-03-17 03:20:00,0,1,1,2
2024-03-17 03:30:00,2,1,1,4
2024-03-17 03:40:00,3,0,2,5
2024-03-17 03:50:00,2,1,1,4
2024-03-17 04:00:00,3,0,1,4
2024-03-17 04:10:00,1,0,0,1
2024-03-17 04:20:00,3,0,1,4
2024-03-17 04:30:00,1,2,1,4
2024-03-17 04:40:00,1,1,0,2
2024-03-17 04:50:00,0,1,0,1
2024-03-17 05:00:00,1,1,1,3
2024-03-17 05:10:00,2,0,0,2
2024-03-17 05:20:00,0,0,1,1
2024-03-17 05:30:00,1,1,0,2
2024-03-17 05:40:00,2,0,1,3
2024-03-17 05:50:00,1,0,1,2
2024-03-17 06:00:00,2,0,0,2
2024-03-17 06:10:00,2,3,1,6
2024-03-17 06:20:00,1,0,3,4
2024-03-17 06:30:00,0,0,0,0
2024-03-17 06:40:00,0,1,1,2
2024-03-17 06:50:00,1,1,2,4
2024-03-17 07:00:00,2,0,0,2
2024-03-17 07:10:00,0,0,0,0
2024-03-17 07:20:00,2,0,1,3
2024-03-17 07:30:00,1,1,1,3
2024-03-17 07:40:00,7,6,4,17
2024-03-17 07:50:00,2,2,4,8
2024-03-17 08:00:00,5,5,2,12
2024-03-17 08:10:00,6,2,1,9
2024-03-17 08:20:00,3,2,1,6
2024-03-17 08:30:00,9,3,1,13
2024-03-17 08:40:00,10,1,2,13
2024-03-17 08:50:00,7,7,3,17
2024-03-17 09:00:00,5,6,2,13
2024-03-17 09:10:00,13,8,4,25
2024-03-17 09:20:00,3,8,4,15
2024-03-17 09:30:00,12,9,2,23
2024-03-17 09:40:00,7,10,6,23
2024-03-17 09:50:00,12,10,9,31
2024-03-17 10:00:00,7,7,10,24
2024-03-17 10:10:00,7,5,7,19
2024-03-17 10:20:00,13,11,1,25
2024-03-17 10:30:00,12,6,6,24
2024-03-17 10:40:00,15,4,2,21
2024-03-17 10:50:00,14,11,6,31
2024-03-17 11:00:00,16,12,5,33
2024-03-17 11:10:00,16,14,1,31
2024-03-17 11:20:00,17,8,8,33
2024-03-17 11:30:00,13,9,1,23
2024-03-17 11:40:00,21,10,6,37
2024-03-17 11:50:00,15,13,7,35
2024-03-17 12:00:00,12,7,3,22
2024-03-17 12:10:00,15,13,6,34
2024-03-17 12:20:00,15,11,7,33
2024-03-17 12:30:00,11,17,8,36
2024-03-17 12:40:00,16,14,9,39
2024-03-17 12:50:00,14,23,2,39
2024-03-17 13:00:00,10,18,5,33
2024-03-17 13:10:00,20,22,3,45
2024-03-17 13:20:00,17,6,6,29
2024-03-17 13:30:00,25,11,7,43
2024-03-17 13:40:00,15,16,6,37
2024-03-17 13:50:00,10,12,4,26
2024-03-17 14:00:00,20,7,7,34
2024-03-17 14:10:00,15,12,5,32
2024-03-17 14:20:00,22,24,6,52
2024-03-17 14:30:00,11,16,6,33
2024-03-17 14:40:00,19,16,2,37
2024-03-17 14:50:00,18,16,7,41
2024-03-17 15:00:00,14,18,7,39
2024-03-17 15:10:00,14,11,2,27
2024-03-17 15:20:00,17,13,4,34
2024-03-17 15:30:00,16,10,5,31
2024-03-17 15:40:00,23,16,4,43
2024-03-17 15:50:00,22,6,4,32
2024-03-17 16:00:00,16,13,4,33
2024-03-17 16:10:00,18,8,3,29
2024-03-17 16:20:00,16,9,5,30
2024-03-17 16:30:00,14,11,4,29
2024-03-17 16:40:00,10,16,7,33
2024-03-17 16:50:00,15,18,4,37
2024-03-17 17:00:00,18,12,11,41
2024-03-17 17:10:00,19,10,9,38
2024-03-17 17:20:00,26,11,7,44
2024-03-17 17:30:00,18,16,9,43
2024-03-17 17:40:00,23,10,7,40
2024-03-17 17:50:00,13,11,6,30
2024-03-17 18:00:00,12,9,6,27
2024-03-17 18:10:00,19,8,6,33
2024-03-17 18:20:00,12,13,8,33
2024-03-17 18:30:00,18,17,6,41
2024-03-17 18:40:00,14,15,6,35
2024-03-17 18:50:00,11,11,2,24
2024-03-17 19:00:00,16,13,4,33
2024-03-17 19:10:00,14,9,2,25
2024-03-17 19:20:00,12,10,6,28
2024-03-17 19:30:00,13,10,4,27
2024-03-17 19:40:00,10,5,8,23
2024-03-17 19:50:00,10,5,9,24
2024-03-17 20:00:00,14,8,7,29
2024-03-17 20:10:00,9,8,6,23
2024-03-17 20:20:00,11,8,4,23
2024-03-17 20:30:00,11,5,6,22
2024-03-17 20:40:00,6,7,0,13
2024-03-17 20:50:00,7,6,1,14
2024-03-17 21:00:00,13,10,7,30
2024-03-17 21:10:00,9,3,3,15
2024-03-17 21:20:00,5,4,3,12
2024-03-17 21:30:00,9,4,0,13
2024-03-17 21:40:00,8,4,3,15
2024-03-17 21:50:00,2,3,3,8
2024-03-17 22:00:00,3,8,4,15
2024-03-17 22:10:00,4,4,6,14
2024-03-17 22:20:00,4,1,1,6
2024-03-17 22:30:00,4,3,0,7
2024-03-17 22:40:00,2,3,3,8
2024-03-17 22:50:00,5,3,3,11
2024-03-17 23:00:00,2,4,0,6
2024-03-17 23:10:00,6,3,0,9
2024-03-17 23:20:00,2,3,2,7
2024-03-17 23:30:00,0,0,1,1
2024-03-17 23:40:00,1,1,0,2
2024-03-17 23:50:00,0,2,0,2
2024-03-18 00:00:00,2,0,1,3
2024-03-18 00:10:00,0,0,1,1
2024-03-18 00:20:00,0,0,0,0
2024-03-18 00:30:00,0,1,0,1
2024-03-18 00:40:00,0,1,1,2
2024-03-18 00:50:00,1,1,0,2
2024-03-18 01:00:00,0,0,0,0
2024-03-18 01:10:00,0,0,1,1
2024-03-18 01:20:00,0,0,1,1
2024-03-18 01:30:00,0,1,0,1
2024-03-18 01:40:00,0,0,1,1
2024-03-18 01:50:00,6,0,0,6
2024-03-18 02:00:00,0,0,0,0
2024-03-18 02:10:00,1,0,0,1
2024-03-18 02:20:00,2,1,1,4
2024-03-18 02:30:00,2,2,1,5
2024-03-18 02:40:00,0,0,0,0
2024-03-18 02:50:00,1,0,1,2
2024-03-18 03:00:00,0,0,0,0
2024-03-18 03:10:00,0,0,0,0
2024-03-18 03:20:00,0,1,0,1
2024-03-18 03:30:00,0,0,0,0
2024-03-18 03:40:00,1,2,1,4
2024-03-18 03:50:00,1,0,1,2
2024-03-18 04:00:00,0,2,1,3
2024-03-18 04:10:00,0,0,0,0
2024-03-18 04:20:00,0,0,0,0
2024-03-18 04:30:00,2,0,0,2
2024-03-18 04:40:00,0,0,0,0
2024-03-18 04:50:00,0,4,1,5
2024-03-18 05:00:00,2,0,2,4
2024-03-18 05:10:00,1,2,1,4
2024-03-18 05:20:00,3,4,2,9
2024-03-18 05:30:00,3,0,2,5
2024-03-18 05:40:00,4,4,4,12
2024-03-18 05:50:00,5,2,4,11
2024-03-18 06:00:00,7,2,2,11
2024-03-18 06:10:00,6,5,8,19
2024-03-18 06:20:00,9,6,6,21
2024-03-18 06:30:00,7,9,8,24
2024-03-18 06:40:00,9,4,9,22
2024-03-18 06:50:00,18,16,10,44
2024-03-18 07:00:00,23,15,9,47
2024-03-18 07:10:00,20,15,5,40
2024-03-18 07:20:00,30,23,8,61
2024-03-18 07:30:00,36,27,19,82
2024-03-18 07:40:00,29,34,20,83
2024-03-18 07:50:00,39,31,11,81
2024-03-18 08:00:00,39,20,11,70
2024-03-18 08:10:00,28,29,13,70
2024-03-18 08:20:00,36,28,12,76
2024-03-18 08:30:00,31,20,14,65
2024-03-18 08:40:00,30,24,10,64
2024-03-18 08:50:00,45,16,10,71
2024-03-18 09:00:00,29,14,9,52
2024-03-18 09:10:00,29,11,5,45
2024-03-18 09:20:00,28,24,15,67
2024-03-18 09:30:00,22,11,10,43
2024-03-18 09:40:00,27,8,15,50
2024-03-18 09:50:00,23,16,14,53
2024-03-18 10:00:00,27,20,11,58
2024-03-18 10:10:00,19,12,9,40
2024-03-18 10:20:00,20,13,8,41
2024-03-18 10:30:00,23,14,8,45
2024-03-18 10:40:00,27,15,4,46
2024-03-18 10:50:00,21,26,10,57
2024-03-18 11:00:00,31,14,7,52
2024-03-18 11:10:00,19,8,12,39
2024-03-18 11:20:00,18,14,8,40
2024-03-18 11:30:00,26,15,8,49
2024-03-18 11:40:00,32,14,8,54
2024-03-18 11:50:00,23,13,6,42
2024-03-18 12:00:00,26,14,6,46
2024-03-18 12:10:00,23,19,5,47
