datetime,V51Z,V111Z,V351Z,Total
2024-03-01 01:00:00,2,1,1,4
2024-03-01 01:10:00,1,2,0,3
2024-03-01 01:20:00,1,2,0,3
2024-03-01 01:30:00,1,2,0,3
2024-03-01 01:40:00,1,3,0,4
2024-03-01 01:50:00,0,3,0,3
2024-03-01 02:00:00,3,1,0,4
2024-03-01 02:10:00,1,1,0,2
2024-03-01 02:20:00,1,1,0,2
2024-03-01 02:30:00,0,2,0,2
2024-03-01 02:40:00,0,1,0,1
2024-03-01 02:50:00,2,1,0,3
2024-03-01 03:00:00,0,0,0,0
2024-03-01 03:10:00,3,2,0,5
2024-03-01 03:20:00,2,1,0,3
2024-03-01 03:30:00,0,0,0,0
2024-03-01 03:40:00,3,3,0,6
2024-03-01 03:50:00,2,1,0,3
2024-03-01 04:00:00,0,0,0,0
2024-03-01 04:10:00,1,3,0,4
2024-03-01 04:20:00,0,0,0,0
2024-03-01 04:30:00,4,1,0,5
2024-03-01 04:40:00,1,1,0,2
2024-03-01 04:50:00,2,1,0,3
2024-03-01 05:00:00,0,1,1,2
2024-03-01 05:10:00,3,4,0,7
2024-03-01 05:20:00,0,3,0,3
2024-03-01 05:30:00,6,4,0,10
2024-03-01 05:40:00,9,5,1,15
2024-03-01 05:50:00,5,5,1,11
2024-03-01 06:00:00,9,8,0,17
2024-03-01 06:10:00,6,9,1,16
2024-03-01 06:20:00,8,16,0,24
2024-03-01 06:30:00,8,8,0,16
2024-03-01 06:40:00,11,13,2,26
2024-03-01 06:50:00,18,9,1,28
2024-03-01 07:00:00,17,13,2,32
2024-03-01 07:10:00,13,14,3,30
2024-03-01 07:20:00,20,17,5,42
2024-03-01 07:30:00,36,22,12,70
2024-03-01 07:40:00,24,22,14,60
2024-03-01 07:50:00,26,22,7,55
2024-03-01 08:00:00,34,21,7,62
2024-03-01 08:10:00,27,18,8,53
2024-03-01 08:20:00,25,19,7,51
2024-03-01 08:30:00,26,19,6,51
2024-03-01 08:40:00,22,14,7,43
2024-03-01 08:50:00,19,24,7,50
2024-03-01 09:00:00,26,24,4,54
2024-03-01 09:10:00,24,22,4,50
2024-03-01 09:20:00,22,22,6,50
2024-03-01 09:30:00,28,23,6,57
2024-03-01 09:40:00,26,22,5,53
2024-03-01 09:50:00,31,27,5,63
2024-03-01 10:00:00,29,16,6,51
2024-03-01 10:10:00,23,19,5,47
2024-03-01 10:20:00,18,15,2,35
2024-03-01 10:30:00,20,19,1,40
2024-03-01 10:40:00,24,29,3,56
2024-03-01 10:50:00,19,16,9,44
2024-03-01 11:00:00,18,17,3,38
2024-03-01 11:10:00,37,25,3,65
2024-03-01 11:20:00,21,24,8,53
2024-03-01 11:30:00,28,31,9,68
2024-03-01 11:40:00,19,26,4,49
2024-03-01 11:50:00,21,30,2,53
2024-03-01 12:00:00,19,14,6,39
2024-03-01 12:10:00,20,23,6,49
2024-03-01 12:20:00,24,14,7,45
2024-03-01 12:30:00,26,17,10,53
2024-03-01 12:40:00,28,27,7,62
2024-03-01 12:50:00,32,19,2,53
2024-03-01 13:00:00,24,27,7,58
2024-03-01 13:10:00,30,26,9,65
2024-03-01 13:20:00,27,23,2,52
2024-03-01 13:30:00,30,20,6,56
2024-03-01 13:40:00,25,23,7,55
2024-03-01 13:50:00,21,29,4,54
2024-03-01 14:00:00,23,21,9,53
2024-03-01 14:10:00,30,34,4,68
2024-03-01 14:20:00,32,21,5,58
2024-03-01 14:30:00,15,20,8,43
2024-03-01 14:40:00,28,29,3,60
2024-03-01 14:50:00,38,25,5,68
2024-03-01 15:00:00,24,23,8,55
2024-03-01 15:10:00,33,14,4,51
2024-03-01 15:20:00,36,23,6,65
2024-03-01 15:30:00,34,22,6,62
2024-03-01 15:40:00,22,20,5,47
2024-03-01 15:50:00,22,18,9,49
2024-03-01 16:00:00,30,31,4,65
2024-03-01 16:10:00,17,29,4,50
2024-03-01 16:20:00,29,21,8,58
2024-03-01 16:30:00,22,25,4,51
2024-03-01 16:40:00,31,19,12,62
2024-03-01 16:50:00,24,23,5,52
2024-03-01 17:00:00,25,20,8,53
2024-03-01 17:10:00,24,26,6,56
2024-03-01 17:20:00,33,27,6,66
2024-03-01 17:30:00,34,36,5,75
2024-03-01 17:40:00,38,16,5,59
2024-03-01 17:50:00,25,24,8,57
2024-03-01 18:00:00,28,22,5,55
2024-03-01 18:10:00,25,33,3,61
2024-03-01 18:20:00,20,21,4,45
2024-03-01 18:30:00,20,21,2,43
2024-03-01 18:40:00,23,21,3,47
2024-03-01 18:50:00,22,15,5,42
2024-03-01 19:00:00,16,18,5,39
2024-03-01 19:10:00,13,14,5,32
2024-03-01 19:20:00,20,25,3,48
2024-03-01 19:30:00,17,25,3,45
2024-03-01 19:40:00,22,17,3,42
2024-03-01 19:50:00,17,17,7,41
2024-03-01 20:00:00,19,19,1,39
2024-03-01 20:10:00,13,23,4,40
2024-03-01 20:20:00,15,10,4,29
2024-03-01 20:30:00,10,15,3,28
2024-03-01 20:40:00,16,13,1,30
2024-03-01 20:50:00,15,14,0,29
2024-03-01 21:00:00,9,9,2,20
2024-03-01 21:10:00,11,13,3,27
2024-03-01 21:20:00,12,13,0,25
2024-03-01 21:30:00,7,14,3,24
2024-03-01 21:40:00,11,13,0,24
2024-03-01 21:50:00,8,13,0,21
2024-03-01 22:00:00,4,14,4,22
2024-03-01 22:10:00,7,18,0,25
2024-03-01 22:20:00,13,12,1,26
2024-03-01 22:30:00,7,12,1,20
2024-03-01 22:40:00,16,16,0,32
2024-03-01 22:50:00,7,18,3,28
2024-03-01 23:00:00,9,15,1,25
2024-03-01 23:10:00,10,14,0,24
2024-03-01 23:20:00,2,10,0,12
2024-03-01 23:30:00,4,12,1,17
2024-03-01 23:40:00,6,12,0,18
2024-03-01 23:50:00,4,10,0,14
2024-03-02 00:00:00,6,13,0,19
2024-03-02 00:10:00,4,11,1,16
2024-03-02 00:20:00,3,14,1,18
2024-03-02 00:30:00,6,8,2,16
2024-03-02 00:40:00,8,8,0,16
2024-03-02 00:50:00,4,4,0,8
2024-03-02 01:00:00,3,5,0,8
2024-03-02 01:10:00,8,9,0,17
2024-03-02 01:20:00,4,6,0,10
2024-03-02 01:30:00,3,6,2,11
2024-03-02 01:40:00,2,4,0,6
2024-03-02 01:50:00,2,3,0,5
2024-03-02 02:00:00,1,1,0,2
2024-03-02 02:10:00,4,2,0,6
2024-03-02 02:20:00,7,4,0,11
2024-03-02 02:30:00,1,2,0,3
2024-03-02 02:40:00,4,4,0,8
2024-03-02 02:50:00,1,2,0,3
2024-03-02 03:00:00,0,2,0,2
2024-03-02 03:10:00,2,4,1,7
2024-03-02 03:20:00,3,0,0,3
2024-03-02 03:30:00,1,3,0,4
2024-03-02 03:40:00,3,1,1,5
2024-03-02 03:50:00,1,1,1,3
2024-03-02 04:00:00,0,5,0,5
2024-03-02 04:10:00,2,1,0,3
2024-03-02 04:20:00,2,0,0,2
2024-03-02 04:30:00,1,1,0,2
2024-03-02 04:40:00,3,2,0,5
2024-03-02 04:50:00,1,1,0,2
2024-03-02 05:00:00,3,1,0,4
2024-03-02 05:10:00,0,5,0,5
2024-03-02 05:20:00,5,1,1,7
2024-03-02 05:30:00,1,1,1,3
2024-03-02 05:40:00,3,3,0,6
2024-03-02 05:50:00,2,4,0,6
2024-03-02 06:00:00,2,5,0,7
2024-03-02 06:10:00,2,3,0,5
2024-03-02 06:20:00,1,3,0,4
2024-03-02 06:30:00,0,7,0,7
2024-03-02 06:40:00,4,5,0,9
2024-03-02 06:50:00,3,5,0,8
2024-03-02 07:00:00,8,6,0,14
2024-03-02 07:10:00,5,13,0,18
2024-03-02 07:20:00,4,7,0,11
2024-03-02 07:30:00,7,9,0,16
2024-03-02 07:40:00,4,7,0,11
2024-03-02 07:50:00,9,12,5,26
2024-03-02 08:00:00,4,6,2,12
2024-03-02 08:10:00,5,3,0,8
2024-03-02 08:20:00,7,7,1,15
2024-03-02 08:30:00,6,15,2,23
2024-03-02 08:40:00,12,14,2,28
2024-03-02 08:50:00,18,12,4,34
2024-03-02 09:00:00,16,16,1,33
2024-03-02 09:10:00,11,15,1,27
2024-03-02 09:20:00,11,20,5,36
2024-03-02 09:30:00,17,17,5,39
2024-03-02 09:40:00,21,14,2,37
2024-03-02 09:50:00,29,17,5,51
2024-03-02 10:00:00,19,22,5,46
2024-03-02 10:10:00,25,21,6,52
2024-03-02 10:20:00,24,22,4,50
2024-03-02 10:30:00,24,15,5,44
2024-03-02 10:40:00,29,20,2,51
2024-03-02 10:50:00,21,19,3,43
2024-03-02 11:00:00,26,27,6,59
2024-03-02 11:10:00,30,26,6,62
2024-03-02 11:20:00,29,25,5,59
2024-03-02 11:30:00,23,16,9,48
2024-03-02 11:40:00,34,27,5,66
2024-03-02 11:50:00,22,21,6,49
2024-03-02 12:00:00,27,19,11,57
2024-03-02 12:10:00,25,21,5,51
2024-03-02 12:20:00,23,22,1,46
2024-03-02 12:30:00,28,20,5,53
2024-03-02 12:40:00,23,26,5,54
2024-03-02 12:50:00,23,20,9,52
2024-03-02 13:00:00,22,23,7,52
2024-03-02 13:10:00,24,20,9,53
2024-03-02 13:20:00,34,19,5,58
2024-03-02 13:30:00,24,24,10,58
2024-03-02 13:40:00,27,16,9,52
2024-03-02 13:50:00,32,13,16,61
2024-03-02 14:00:00,28,21,8,57
2024-03-02 14:10:00,23,24,9,56
2024-03-02 14:20:00,36,25,11,72
2024-03-02 14:30:00,25,25,10,60
2024-03-02 14:40:00,32,26,10,68
2024-03-02 14:50:00,25,24,4,53
2024-03-02 15:00:00,23,21,9,53
2024-03-02 15:10:00,30,27,6,63
2024-03-02 15:20:00,26,22,4,52
2024-03-02 15:30:00,30,20,9,59
2024-03-02 15:40:00,32,24,9,65
2024-03-02 15:50:00,23,17,7,47
2024-03-02 16:00:00,28,21,6,55
2024-03-02 16:10:00,21,21,8,50
2024-03-02 16:20:00,21,31,9,61
2024-03-02 16:30:00,20,18,7,45
2024-03-02 16:40:00,19,21,5,45
2024-03-02 16:50:00,21,16,10,47
2024-03-02 17:00:00,25,15,5,45
2024-03-02 17:10:00,30,17,3,50
2024-03-02 17:20:00,34,24,6,64
2024-03-02 17:30:00,28,20,5,53
2024-03-02 17:40:00,34,18,7,59
2024-03-02 17:50:00,36,19,3,58
2024-03-02 18:00:00,36,21,8,65
2024-03-02 18:10:00,20,17,9,46
2024-03-02 18:20:00,19,14,7,40
2024-03-02 18:30:00,14,13,7,34
2024-03-02 18:40:00,24,17,3,44
2024-03-02 18:50:00,18,24,5,47
2024-03-02 19:00:00,18,15,6,39
2024-03-02 19:10:00,16,17,6,39
2024-03-02 19:20:00,22,17,3,42
2024-03-02 19:30:00,19,16,3,38
2024-03-02 19:40:00,17,19,2,38
2024-03-02 19:50:00,14,15,2,31
2024-03-02 20:00:00,14,19,3,36
2024-03-02 20:10:00,14,18,3,35
2024-03-02 20:20:00,15,17,3,35
2024-03-02 20:30:00,12,15,3,30
2024-03-02 20:40:00,10,10,2,22
2024-03-02 20:50:00,16,17,1,34
2024-03-02 21:00:00,18,14,2,34
2024-03-02 21:10:00,12,11,3,26
2024-03-02 21:20:00,11,14,1,26
2024-03-02 21:30:00,10,8,3,21
2024-03-02 21:40:00,9,15,1,25
2024-03-02 21:50:00,13,12,1,26
2024-03-02 22:00:00,7,11,1,19
2024-03-02 22:10:00,4,11,2,17
2024-03-02 22:20:00,5,18,3,26
2024-03-02 22:30:00,8,13,1,22
2024-03-02 22:40:00,13,13,2,28
2024-03-02 22:50:00,10,9,1,20
2024-03-02 23:00:00,8,10,5,23
2024-03-02 23:10:00,11,10,1,22
2024-03-02 23:20:00,6,9,0,15
2024-03-02 23:30:00,15,10,1,26
2024-03-02 23:40:00,7,8,0,15
2024-03-02 23:50:00,4,8,1,13
2024-03-03 00:00:00,2,5,0,7
2024-03-03 00:10:00,3,9,1,13
2024-03-03 00:20:00,3,5,0,8
2024-03-03 00:30:00,2,7,2,11
2024-03-03 00:40:00,4,9,0,13
2024-03-03 00:50:00,5,8,0,13
2024-03-03 01:00:00,6,9,1,16
2024-03-03 01:10:00,4,7,0,11
2024-03-03 01:20:00,3,4,2,9
2024-03-03 01:30:00,1,3,0,4
2024-03-03 01:40:00,3,6,0,9
2024-03-03 01:50:00,4,6,0,10
2024-03-03 02:00:00,2,6,0,8
2024-03-03 02:10:00,2,4,0,6
2024-03-03 02:20:00,5,3,0,8
2024-03-03 02:30:00,2,3,0,5
2024-03-03 02:40:00,1,4,0,5
2024-03-03 02:50:00,4,2,0,6
2024-03-03 03:00:00,0,5,0,5
2024-03-03 03:10:00,3,1,0,4
2024-03-03 03:20:00,5,4,0,9
2024-03-03 03:30:00,1,2,0,3
2024-03-03 03:40:00,3,6,0,9
2024-03-03 03:50:00,0,3,0,3
2024-03-03 04:00:00,1,5,0,6
2024-03-03 04:10:00,1,1,0,2
2024-03-03 04:20:00,4,2,0,6
2024-03-03 04:30:00,2,4,0,6
2024-03-03 04:40:00,2,3,0,5
2024-03-03 04:50:00,2,2,0,4
2024-03-03 05:00:00,1,2,0,3
2024-03-03 05:10:00,2,3,0,5
2024-03-03 05:20:00,4,3,0,7
2024-03-03 05:30:00,2,2,0,4
2024-03-03 05:40:00,1,0,0,1
2024-03-03 05:50:00,0,1,2,3
2024-03-03 06:00:00,1,1,0,2
2024-03-03 06:10:00,1,1,0,2
2024-03-03 06:20:00,0,6,0,6
2024-03-03 06:30:00,1,3,0,4
2024-03-03 06:40:00,2,2,1,5
2024-03-03 06:50:00,0,0,0,0
2024-03-03 07:00:00,1,3,0,4
2024-03-03 07:10:00,4,2,0,6
2024-03-03 07:20:00,2,1,0,3
2024-03-03 07:30:00,3,2,0,5
2024-03-03 07:40:00,5,3,1,9
2024-03-03 07:50:00,3,7,0,10
2024-03-03 08:00:00,1,4,1,6
2024-03-03 08:10:00,2,2,0,4
2024-03-03 08:20:00,2,3,0,5
2024-03-03 08:30:00,3,8,2,13
2024-03-03 08:40:00,4,9,0,13
2024-03-03 08:50:00,9,7,1,17
2024-03-03 09:00:00,4,8,0,12
2024-03-03 09:10:00,8,10,0,18
2024-03-03 09:20:00,14,7,2,23
2024-03-03 09:30:00,9,12,1,22
2024-03-03 09:40:00,17,10,3,30
2024-03-03 09:50:00,7,11,0,18
2024-03-03 10:00:00,13,11,2,26
2024-03-03 10:10:00,19,12,0,31
2024-03-03 10:20:00,8,17,2,27
2024-03-03 10:30:00,15,11,0,26
2024-03-03 10:40:00,9,16,1,26
2024-03-03 10:50:00,13,20,1,34
2024-03-03 11:00:00,13,12,1,26
2024-03-03 11:10:00,14,19,1,34
2024-03-03 11:20:00,12,14,3,29
2024-03-03 11:30:00,10,13,1,24
2024-03-03 11:40:00,16,20,2,38
2024-03-03 11:50:00,15,15,2,32
2024-03-03 12:00:00,14,21,4,39
2024-03-03 12:10:00,12,18,6,36
2024-03-03 12:20:00,15,30,5,50
2024-03-03 12:30:00,14,21,0,35
2024-03-03 12:40:00,10,19,6,35
2024-03-03 12:50:00,15,22,1,38
2024-03-03 13:00:00,9,18,7,34
2024-03-03 13:10:00,14,21,6,41
2024-03-03 13:20:00,12,24,15,51
2024-03-03 13:30:00,18,22,1,41
2024-03-03 13:40:00,18,20,5,43
2024-03-03 13:50:00,17,21,10,48
2024-03-03 14:00:00,24,20,6,50
2024-03-03 14:10:00,19,20,8,47
2024-03-03 14:20:00,20,21,10,51
2024-03-03 14:30:00,10,23,6,39
2024-03-03 14:40:00,18,26,5,49
2024-03-03 14:50:00,20,19,6,45
2024-03-03 15:00:00,11,22,3,36
2024-03-03 15:10:00,21,25,1,47
2024-03-03 15:20:00,21,17,2,40
2024-03-03 15:30:00,15,23,4,42
2024-03-03 15:40:00,6,19,5,30
2024-03-03 15:50:00,17,28,6,51
2024-03-03 16:00:00,16,21,6,43
2024-03-03 16:10:00,22,14,4,40
2024-03-03 16:20:00,11,24,2,37
2024-03-03 16:30:00,8,14,1,23
2024-03-03 16:40:00,21,16,7,44
2024-03-03 16:50:00,17,16,3,36
2024-03-03 17:00:00,13,21,5,39
2024-03-03 17:10:00,23,14,6,43
2024-03-03 17:20:00,25,18,6,49
2024-03-03 17:30:00,22,21,5,48
2024-03-03 17:40:00,25,21,4,50
2024-03-03 17:50:00,25,13,4,42
2024-03-03 18:00:00,16,20,0,36
2024-03-03 18:10:00,14,15,3,32
2024-03-03 18:20:00,20,17,8,45
2024-03-03 18:30:00,13,18,3,34
2024-03-03 18:40:00,12,22,4,38
2024-03-03 18:50:00,18,22,3,43
2024-03-03 19:00:00,15,16,3,34
2024-03-03 19:10:00,12,14,1,27
2024-03-03 19:20:00,9,15,2,26
2024-03-03 19:30:00,16,12,1,29
2024-03-03 19:40:00,12,16,0,28
2024-03-03 19:50:00,8,20,2,30
2024-03-03 20:00:00,15,16,1,32
2024-03-03 20:10:00,8,8,1,17
2024-03-03 20:20:00,10,15,0,25
2024-03-03 20:30:00,6,14,0,20
2024-03-03 20:40:00,7,16,1,24
2024-03-03 20:50:00,12,12,1,25
2024-03-03 21:00:00,7,16,0,23
2024-03-03 21:10:00,7,13,0,20
2024-03-03 21:20:00,7,13,1,21
2024-03-03 21:30:00,6,8,1,15
2024-03-03 21:40:00,5,10,0,15
2024-03-03 21:50:00,8,18,0,26
2024-03-03 22:00:00,10,17,1,28
2024-03-03 22:10:00,6,9,1,16
2024-03-03 22:20:00,4,13,0,17
2024-03-03 22:30:00,11,5,2,18
2024-03-03 22:40:00,7,8,0,15
2024-03-03 22:50:00,3,9,0,12
2024-03-03 23:00:00,3,9,0,12
2024-03-03 23:10:00,4,3,0,7
2024-03-03 23:20:00,3,7,0,10
2024-03-03 23:30:00,1,4,0,5
2024-03-03 23:40:00,3,10,0,13
2024-03-03 23:50:00,1,10,0,11
2024-03-04 00:00:00,1,5,0,6
2024-03-04 00:10:00,3,2,0,5
2024-03-04 00:20:00,1,3,0,4
2024-03-04 00:30:00,4,3,0,7
2024-03-04 00:40:00,2,2,0,4
2024-03-04 00:50:00,0,0,0,0
2024-03-04 01:00:00,0,1,0,1
2024-03-04 01:10:00,1,3,0,4
2024-03-04 01:20:00,0,4,0,4
2024-03-04 01:30:00,2,2,0,4
2024-03-04 01:40:00,0,2,0,2
2024-03-04 01:50:00,0,1,0,1
2024-03-04 02:00:00,0,0,0,0
2024-03-04 02:10:00,1,0,0,1
2024-03-04 02:20:00,0,0,0,0
2024-03-04 02:30:00,0,4,0,4
2024-03-04 02:40:00,1,2,0,3
2024-03-04 02:50:00,0,0,0,0
2024-03-04 03:00:00,0,0,0,0
2024-03-04 03:10:00,1,0,0,1
2024-03-04 03:20:00,2,2,0,4
2024-03-04 03:30:00,0,4,0,4
2024-03-04 03:40:00,1,0,0,1
2024-03-04 03:50:00,1,1,0,2
2024-03-04 04:00:00,0,0,0,0
2024-03-04 04:10:00,1,3,0,4
2024-03-04 04:20:00,1,1,0,2
2024-03-04 04:30:00,2,0,0,2
2024-03-04 04:40:00,1,0,0,1
2024-03-04 04:50:00,3,2,0,5
2024-03-04 05:00:00,0,2,0,2
2024-03-04 05:10:00,2,3,0,5
2024-03-04 05:20:00,3,2,0,5
2024-03-04 05:30:00,3,3,1,7
2024-03-04 05:40:00,6,6,0,12
2024-03-04 05:50:00,6,9,0,15
2024-03-04 06:00:00,7,8,0,15
2024-03-04 06:10:00,10,12,0,22
2024-03-04 06:20:00,10,13,1,24
2024-03-04 06:30:00,8,9,1,18
2024-03-04 06:40:00,11,16,3,30
2024-03-04 06:50:00,17,12,3,32
2024-03-04 07:00:00,16,15,0,31
2024-03-04 07:10:00,14,13,1,28
2024-03-04 07:20:00,21,16,10,47
2024-03-04 07:30:00,30,22,8,60
2024-03-04 07:40:00,20,13,15,48
2024-03-04 07:50:00,28,20,5,53
2024-03-04 08:00:00,26,11,4,41
2024-03-04 08:10:00,29,15,9,53
2024-03-04 08:20:00,17,17,5,39
2024-03-04 08:30:00,26,19,3,48
2024-03-04 08:40:00,22,24,3,49
2024-03-04 08:50:00,20,28,9,57
2024-03-04 09:00:00,17,13,4,34
2024-03-04 09:10:00,17,20,2,39
2024-03-04 09:20:00,23,23,4,50
2024-03-04 09:30:00,30,18,3,51
2024-03-04 09:40:00,21,17,4,42
2024-03-04 09:50:00,25,19,6,50
2024-03-04 10:00:00,25,17,3,45
2024-03-04 10:10:00,24,16,10,50
2024-03-04 10:20:00,23,22,1,46
2024-03-04 10:30:00,21,22,5,48
2024-03-04 10:40:00,19,28,4,51
2024-03-04 10:50:00,19,24,4,47
2024-03-04 11:00:00,18,18,2,38
2024-03-04 11:10:00,24,23,3,50
2024-03-04 11:20:00,18,20,6,44
2024-03-04 11:30:00,21,18,6,45
2024-03-04 11:40:00,29,24,5,58
2024-03-04 11:50:00,23,22,4,49
2024-03-04 12:00:00,18,23,2,43
2024-03-04 12:10:00,26,24,2,52
2024-03-04 12:20:00,15,21,3,39
2024-03-04 12:30:00,29,24,8,61
2024-03-04 12:40:00,22,34,3,59
2024-03-04 12:50:00,29,24,6,59
2024-03-04 13:00:00,25,22,5,52
2024-03-04 13:10:00,25,17,9,51
2024-03-04 13:20:00,19,19,8,46
2024-03-04 13:30:00,23,16,5,44
2024-03-04 13:40:00,25,20,4,49
2024-03-04 13:50:00,18,22,4,44
2024-03-04 14:00:00,23,25,6,54
2024-03-04 14:10:00,19,27,6,52
2024-03-04 14:20:00,20,21,8,49
2024-03-04 14:30:00,29,31,13,73
2024-03-04 14:40:00,24,26,7,57
2024-03-04 14:50:00,22,29,8,59
2024-03-04 15:00:00,29,18,5,52
2024-03-04 15:10:00,30,26,6,62
2024-03-04 15:20:00,21,26,6,53
2024-03-04 15:30:00,25,14,9,48
2024-03-04 15:40:00,30,24,7,61
2024-03-04 15:50:00,28,25,5,58
2024-03-04 16:00:00,23,15,11,49
2024-03-04 16:10:00,34,20,9,63
2024-03-04 16:20:00,30,22,7,59
2024-03-04 16:30:00,25,26,6,57
2024-03-04 16:40:00,31,29,5,65
2024-03-04 16:50:00,21,15,7,43
2024-03-04 17:00:00,22,23,9,54
2024-03-04 17:10:00,20,27,3,50
2024-03-04 17:20:00,21,20,8,49
2024-03-04 17:30:00,18,24,3,45
2024-03-04 17:40:00,21,20,4,45
2024-03-04 17:50:00,26,30,6,62
2024-03-04 18:00:00,21,20,9,50
2024-03-04 18:10:00,18,17,4,39
2024-03-04 18:20:00,18,18,3,39
2024-03-04 18:30:00,14,24,1,39
2024-03-04 18:40:00,17,23,3,43
2024-03-04 18:50:00,25,23,7,55
2024-03-04 19:00:00,12,23,4,39
2024-03-04 19:10:00,10,25,2,37
2024-03-04 19:20:00,16,16,1,33
2024-03-04 19:30:00,14,17,2,33
2024-03-04 19:40:00,20,20,2,42
2024-03-04 19:50:00,11,20,2,33
2024-03-04 20:00:00,19,20,3,42
2024-03-04 20:10:00,8,12,2,22
2024-03-04 20:20:00,11,21,2,34
2024-03-04 20:30:00,8,15,1,24
2024-03-04 20:40:00,10,14,0,24
2024-03-04 20:50:00,10,11,2,23
2024-03-04 21:00:00,12,8,2,22
2024-03-04 21:10:00,12,14,1,27
2024-03-04 21:20:00,8,9,4,21
2024-03-04 21:30:00,5,11,1,17
2024-03-04 21:40:00,9,16,2,27
2024-03-04 21:50:00,10,7,0,17
2024-03-04 22:00:00,5,6,4,15
2024-03-04 22:10:00,3,8,1,12
2024-03-04 22:20:00,7,15,0,22
2024-03-04 22:30:00,6,14,0,20
2024-03-04 22:40:00,4,4,0,8
2024-03-04 22:50:00,4,4,2,10
2024-03-04 23:00:00,3,10,0,13
2024-03-04 23:10:00,4,4,0,8
2024-03-04 23:20:00,3,2,0,5
2024-03-04 23:30:00,1,3,0,4
2024-03-04 23:40:00,3,2,0,5
2024-03-04 23:50:00,4,2,0,6
2024-03-05 00:00:00,1,1,1,3
2024-03-05 00:10:00,4,6,1,11
2024-03-05 00:20:00,2,1,0,3
2024-03-05 00:30:00,1,3,0,4
2024-03-05 00:40:00,4,3,0,7
2024-03-05 00:50:00,3,1,0,4
2024-03-05 01:00:00,0,0,2,2
2024-03-05 01:10:00,0,3,0,3
2024-03-05 01:20:00,1,2,0,3
2024-03-05 01:30:00,0,4,0,4
2024-03-05 01:40:00,3,1,0,4
2024-03-05 01:50:00,1,2,0,3
2024-03-05 02:00:00,2,1,0,3
2024-03-05 02:10:00,1,1,1,3
2024-03-05 02:20:00,1,1,1,3
2024-03-05 02:30:00,2,0,1,3
2024-03-05 02:40:00,1,1,0,2
2024-03-05 02:50:00,3,1,0,4
2024-03-05 03:00:00,1,0,0,1
2024-03-05 03:10:00,0,0,0,0
2024-03-05 03:20:00,2,0,0,2
2024-03-05 03:30:00,1,0,0,1
2024-03-05 03:40:00,1,1,0,2
2024-03-05 03:50:00,1,1,0,2
2024-03-05 04:00:00,1,0,0,1
2024-03-05 04:10:00,1,0,0,1
2024-03-05 04:20:00,0,2,0,2
2024-03-05 04:30:00,5,1,0,6
2024-03-05 04:40:00,1,2,0,3
2024-03-05 04:50:00,3,2,0,5
2024-03-05 05:00:00,1,4,0,5
2024-03-05 05:10:00,6,4,0,10
2024-03-05 05:20:00,3,2,0,5
2024-03-05 05:30:00,3,5,0,8
2024-03-05 05:40:00,9,6,0,15
2024-03-05 05:50:00,7,9,1,17
2024-03-05 06:00:00,9,8,0,17
2024-03-05 06:10:00,5,12,0,17
2024-03-05 06:20:00,6,16,0,22
2024-03-05 06:30:00,12,8,0,20
2024-03-05 06:40:00,12,9,0,21
2024-03-05 06:50:00,19,12,4,35
2024-03-05 07:00:00,14,18,1,33
2024-03-05 07:10:00,14,18,0,32
2024-03-05 07:20:00,17,14,6,37
2024-03-05 07:30:00,26,16,9,51
2024-03-05 07:40:00,35,8,10,53
2024-03-05 07:50:00,32,18,11,61
2024-03-05 08:00:00,30,19,8,57
2024-03-05 08:10:00,26,20,5,51
2024-03-05 08:20:00,27,13,5,45
2024-03-05 08:30:00,22,19,3,44
2024-03-05 08:40:00,26,24,4,54
2024-03-05 08:50:00,28,25,5,58
2024-03-05 09:00:00,28,29,1,58
2024-03-05 09:10:00,19,24,3,46
2024-03-05 09:20:00,26,18,3,47
2024-03-05 09:30:00,26,23,5,54
2024-03-05 09:40:00,24,19,4,47
2024-03-05 09:50:00,27,19,6,52
2024-03-05 10:00:00,23,20,2,45
